year,date,lat,lon,count
2021,2021-05-24,15.34873,-61.43938,1
2021,2021-05-24,15.3649,-61.45115,1
2021,2021-05-24,15.37325,-61.45665,2
2021,2021-05-24,15.37537,-61.45765,1
2021,2021-05-24,15.42755,-61.4623,2
2021,2021-05-24,15.39718,-61.46035,2
2021,2021-05-24,15.40045,-61.4672,1
2021,2021-05-24,15.40418,-61.46873,2
2021,2021-05-24,15.40938,-61.4727,1
2021,2021-05-24,15.41093,-61.47542,4
2021,2021-05-26,15.35562,-61.45255,1
2021,2021-05-26,15.35483,-61.45175,1
2021,2021-05-26,15.34387,-61.45268,1
2021,2021-05-26,15.32422,-61.43718,1
2021,2021-05-26,15.31347,-61.42942,2
2021,2021-05-26,15.31272,-61.42408,3
2021,2021-05-26,15.34315,-61.4344,1
2021,2021-05-26,15.34542,-61.44213,1
2021,2021-05-26,15.34862,-61.44775,1
2021,2021-05-28,15.46655,-61.5095,1
2021,2021-05-28,15.48038,-61.50223,1
2021,2021-05-28,15.48453,-61.49905,3
2021,2021-05-28,15.48747,-61.50293,1
2021,2021-05-28,15.49167,-61.51602,2
2021,2021-05-28,15.49968,-61.50927,1
2021,2021-05-28,15.50767,-61.50532,3
2021,2021-05-28,15.53993,-61.51358,1
2021,2021-05-28,15.54072,-61.51977,1
2021,2021-06-06,15.40172,-61.45272,2
2021,2021-06-06,15.4631,-61.47778,3
2021,2021-06-06,15.45823,-61.48228,5
2021,2021-06-06,15.45693,-61.47738,5
2021,2021-06-06,15.4618,-61.47318,5
2021,2021-06-10,15.3001,-61.41405,4
2021,2021-06-10,15.33098,-61.41912,4
2021,2021-06-10,15.35207,-61.43082,4
2021,2021-06-10,15.37802,-61.44265,5
2021,2021-06-10,15.39748,-61.44763,5
2021,2021-06-11,15.56927,-61.49117,3
2021,2021-06-11,15.57252,-61.4962,3
2021,2021-06-11,15.58225,-61.4962,3
2021,2021-06-12,15.49143,-61.48117,3
2021,2021-06-12,15.50513,-61.49967,3
2021,2021-06-12,15.53522,-61.4912,3
2021,2021-06-12,15.57252,-61.4962,3
2021,2021-07-23,15.34908,-61.53915,2
2021,2021-07-23,15.34512,-61.55365,2
2021,2021-07-23,15.35488,-61.57593,2
2021,2021-07-23,15.3258,-61.5791,2
2021,2021-07-23,15.308,-61.57858,3
2021,2021-07-23,15.29033,-61.58762,1
2021,2021-07-23,15.29413,-61.5953,3
2021,2021-07-24,15.31255,-61.43007,1
2021,2021-07-24,15.31808,-61.43118,1
2021,2021-07-24,15.32068,-61.4322,3
2021,2021-07-24,15.29227,-61.41465,3
2021,2021-07-24,15.27997,-61.40987,1
2021,2021-07-24,15.26493,-61.40732,5
2021,2021-07-24,15.34138,-61.45292,3
2021,2021-07-24,15.34423,-61.45702,6
2021,2021-07-25,15.29178,-61.46362,1
2021,2021-07-25,15.27587,-61.46232,3
2021,2021-07-25,15.42225,-61.5186,1
2021,2021-07-25,15.42808,-61.52272,2
2021,2021-07-25,15.42485,-61.5083,1
2021,2021-07-25,15.4287,-61.50487,2
2021,2021-07-25,15.43115,-61.4932,2
2021,2021-07-25,15.4197,-61.48873,2
2021,2021-07-25,15.40973,-61.48548,2
2021,2021-07-25,15.40777,-61.47618,2
2021,2021-07-25,15.38608,-61.46287,4
2021,2021-07-25,15.38655,-61.46097,2
2021,2021-07-25,15.3696,-61.46018,1
2021,2021-07-25,15.36472,-61.45308,3
2021,2021-07-25,15.34925,-61.45207,3
2021,2021-07-25,15.35195,-61.45265,1
2021,2021-07-25,15.36097,-61.44335,1
2021,2021-07-26,15.28263,-61.47565,2
2021,2021-07-26,15.29592,-61.45983,2
2021,2021-07-26,15.30672,-61.45968,3
2021,2021-07-26,15.30225,-61.45543,2
2021,2021-07-27,15.27835,-61.42307,1
2021,2021-07-27,15.27633,-61.42075,1
2021,2021-07-27,15.28968,-61.42635,2
2021,2021-07-27,15.34598,-61.44985,4
2021,2021-07-27,15.34658,-61.44395,5
2021,2021-07-27,15.35552,-61.44465,1
2021,2021-07-27,15.35862,-61.4467,1
2021,2021-07-27,15.36468,-61.45035,4
2021,2021-07-27,15.3795,-61.45973,1
2021,2021-07-27,15.37857,-61.46312,2
2021,2021-07-27,15.39612,-61.4763,2
2021,2021-07-28,15.31352,-61.43147,1
2021,2021-07-28,15.3273,-61.43577,1
2021,2021-07-28,15.33645,-61.43548,2
2021,2021-07-28,15.32997,-61.43017,1
2021,2021-07-28,15.32692,-61.42778,1
2021,2021-07-28,15.4937,-61.5011,2
2021,2021-07-28,15.48527,-61.49297,1
2021,2021-07-28,15.47898,-61.4937,3
2021,2021-07-28,15.47027,-61.49055,3
2021,2021-07-28,15.46015,-61.488,1
2021,2021-07-28,15.44587,-61.48975,1
2021,2021-07-29,15.27427,-61.42013,1
2021,2021-07-29,15.2768,-61.42173,1
2021,2021-07-29,15.27963,-61.4178,1
2021,2021-07-29,15.29873,-61.42715,1
2021,2021-07-29,15.30493,-61.42833,2
2021,2021-07-29,15.34212,-61.44732,2
2021,2021-07-29,15.38133,-61.4609,3
2021,2021-07-29,15.37997,-61.45553,4
2021,2021-07-29,15.37123,-61.44963,1
2021,2021-07-29,15.37593,-61.45158,3
2021,2021-07-29,15.35867,-61.4428,3
2021,2021-07-30,15.30748,-61.4323,1
2021,2021-07-30,15.32213,-61.43727,2
2021,2021-07-30,15.31097,-61.43205,1
2021,2021-07-30,15.29435,-61.43543,2
2021,2021-07-30,15.29082,-61.42887,3
2021,2021-07-30,15.26938,-61.42702,1
2021,2021-07-30,15.26312,-61.41827,3
2021,2021-07-30,15.26117,-61.41772,1
2021,2021-07-30,15.26508,-61.37712,3
2021,2021-07-30,15.25178,-61.41358,2
2021,2021-07-30,15.24897,-61.41303,3
2021,2021-07-30,15.24347,-61.41582,2
2021,2021-07-30,15.24207,-61.4184,1
2021,2021-07-30,15.24235,-61.41522,1
2021,2021-07-30,15.25187,-61.41615,2
2021,2021-07-30,15.26353,-61.42693,1
2021,2021-07-30,15.26765,-61.44927,2
2021,2021-07-31,15.25867,-61.41663,1
2021,2021-07-31,15.26675,-61.41528,1
2021,2021-07-31,15.26888,-61.42035,1
2021,2021-07-31,15.33482,-61.44783,2
2021,2021-07-31,15.33903,-61.44188,2
2021,2021-07-31,15.33905,-61.43782,1
2021,2021-07-31,15.32273,-61.4364,2
2021,2021-07-31,15.32965,-61.4518,1
2021,2021-07-31,15.3518,-61.46582,2
2021,2021-07-31,15.35127,-61.45857,2
2021,2021-07-31,15.3562,-61.45537,1
2021,2021-07-31,15.36232,-61.44992,1
2021,2021-07-31,15.35585,-61.44787,1
2021,2021-07-31,15.34955,-61.44463,2
2021,2021-07-31,15.35157,-61.44398,2
2021,2021-07-31,15.35053,-61.44447,2
2021,2021-07-31,15.3452,-61.44342,1
2021,2021-07-31,15.34357,-61.43758,2
2021,2021-07-31,15.34338,-61.43847,1
2021,2021-08-01,15.27595,-61.4059,1
2021,2021-08-01,15.25442,-61.42872,11
2021,2021-08-01,15.25792,-61.43378,2
2021,2021-08-01,15.24372,-61.43,2
2021,2021-08-01,15.2331,-61.43413,1
2021,2021-08-01,15.22907,-61.42667,5
2021,2021-08-01,15.22862,-61.42593,5
2021,2021-08-01,15.22575,-61.4227,2
2021,2021-08-01,15.22083,-61.42062,2
2021,2021-08-01,15.21708,-61.4196,1
2021,2021-08-01,15.222,-61.42315,1
2021,2021-08-01,15.35102,-61.46148,1
2021,2021-08-01,15.3529,-61.46643,3
2021,2021-08-01,15.32468,-61.45377,3
2021,2021-08-01,15.30655,-61.44658,1
2021,2021-08-01,15.30093,-61.44215,4
2021,2021-08-01,15.30418,-61.44352,7
2021,2021-08-01,15.31153,-61.44278,4
2021,2021-08-02,15.29933,-61.5121,1
2021,2021-08-02,15.30282,-61.50693,2
2021,2021-08-02,15.29267,-61.48085,1
2021,2021-08-02,15.28395,-61.46563,4
2021,2021-08-02,15.2677,-61.45462,4
2021,2021-08-02,15.26645,-61.4525,4
